資産ID,企業コード,企業名,営業担当者,機器名,メーカー,型番,数量,資産種別,EOL,保守期限,納品日,設置場所,登録日時,更新日時
A-0021,C002,北浜商事株式会社,鈴木,PowerEdge R650,Dell,PER650-021,3,サーバー,2027-09-30,2028-03-31,2022-09-12,大阪DC A列,2025-02-06 10:00:00,2026-08-21 10:05:00
A-0022,C002,北浜商事株式会社,鈴木,ProLiant DL360 Gen10 Plus,HPE,P28948-022,2,サーバー,2029-05-31,2029-11-30,2024-05-16,大阪DC B列,2025-02-07 10:00:00,2026-08-21 10:05:00
A-0023,C002,北浜商事株式会社,鈴木,PowerVault ME4024,Dell,ME4024-023,1,ストレージ,2026-06-30,2026-12-31,2021-06-22,大阪DC B列,2025-02-08 10:00:00,2026-08-21 10:05:00
A-0024,C002,北浜商事株式会社,鈴木,NetApp AFF A250,NetApp,AFFA250-024,1,ストレージ,2028-02-29,2028-08-31,2023-02-03,大阪DC C列,2025-02-09 10:00:00,2026-08-21 10:05:00
A-0025,C002,北浜商事株式会社,鈴木,DocuCentre-VII C4473,FUJIFILM,DC7C4473-025,4,プリンター,2025-11-30,2026-05-31,2020-11-02,大阪本社 各階,2025-02-10 10:00:00,2026-08-21 10:05:00
A-0026,C002,北浜商事株式会社,鈴木,MX-M6071,Sharp,MXM6071-026,2,プリンター,2026-09-15,2027-03-31,2021-09-15,大阪本社 総務,2025-02-11 10:00:00,2026-08-21 10:05:00
A-0027,C002,北浜商事株式会社,鈴木,FortiGate 60F,Fortinet,FG60F-027,5,ネットワーク機器,2028-06-30,2028-12-31,2023-06-10,大阪本社 NWラック,2025-02-12 10:00:00,2026-08-21 10:05:00
A-0028,C002,北浜商事株式会社,鈴木,Aruba CX 6100,HPE,JL675A-028,12,ネットワーク機器,2027-01-31,2027-07-31,2022-01-17,大阪本社 MDF,2025-02-13 10:00:00,2026-08-21 10:05:00
A-0029,C002,北浜商事株式会社,鈴木,ThinkCentre M70q Gen 2,Lenovo,11MY-029,40,PC,2028-01-31,2028-07-31,2023-01-23,大阪本社 4F,2025-02-14 10:00:00,2026-08-21 10:05:00
A-0030,C002,北浜商事株式会社,鈴木,Apeos C4570,FUJIFILM,APC4570-030,3,プリンター,2029-04-30,2029-10-31,2024-04-25,大阪本社 総務,2025-02-15 10:00:00,2026-08-21 10:05:00
A-0031,C003,光和物流株式会社,田中,Latitude 5420,Dell,LAT5420-031,35,PC,2025-12-31,2026-06-30,2020-12-16,横浜本社,2025-03-01 11:00:00,2026-08-22 11:00:00
A-0032,C003,光和物流株式会社,田中,ThinkPad L14 Gen 2,Lenovo,20X1-032,48,PC,2026-05-31,2026-11-30,2021-05-11,横浜本社,2025-03-02 11:00:00,2026-08-22 11:00:00
A-0033,C003,光和物流株式会社,田中,ProBook 450 G9,HPE,6A1B2PA-033,42,PC,2026-09-20,2027-03-31,2021-09-24,横浜営業所,2025-03-03 11:00:00,2026-08-22 11:00:00
A-0034,C003,光和物流株式会社,田中,Surface Pro 8,Microsoft,8PQ-034,12,PC,2027-04-30,2027-10-31,2022-04-13,横浜営業所,2025-03-04 11:00:00,2026-08-22 11:00:00
A-0035,C003,光和物流株式会社,田中,PowerEdge R550,Dell,PER550-035,4,サーバー,2026-01-31,2026-07-31,2021-01-18,横浜DC,2025-03-05 11:00:00,2026-08-22 11:00:00
A-0036,C003,光和物流株式会社,田中,ThinkSystem SR650 V2,Lenovo,7Z73-036,3,サーバー,2027-12-31,2028-06-30,2022-12-08,横浜DC,2025-03-06 11:00:00,2026-08-22 11:00:00
A-0037,C003,光和物流株式会社,田中,PRIMERGY RX1330 M5,Fujitsu,RX1330M5-037,2,サーバー,2029-02-28,2029-08-31,2024-02-26,横浜DC,2025-03-07 11:00:00,2026-08-22 11:00:00
A-0038,C003,光和物流株式会社,田中,ETERNUS DX100 S5,Fujitsu,DX100S5-038,1,ストレージ,2025-09-30,2026-03-31,2020-09-14,横浜DC,2025-03-08 11:00:00,2026-08-22 11:00:00
A-0039,C003,光和物流株式会社,田中,PowerStore 1000T,Dell,PST1000T-039,1,ストレージ,2028-10-31,2029-04-30,2023-10-19,横浜DC,2025-03-09 11:00:00,2026-08-22 11:00:00
A-0040,C003,光和物流株式会社,田中,ApeosPort C3070,FUJIFILM,APC3070-040,5,プリンター,2026-08-15,2027-02-28,2021-08-03,横浜本社 各階,2025-03-10 11:00:00,2026-08-22 11:00:00
A-0041,C003,光和物流株式会社,田中,imageRUNNER ADVANCE DX C3830F,Canon,C3830F-041,3,プリンター,2027-07-31,2028-01-31,2022-07-21,横浜本社 総務,2025-03-11 11:00:00,2026-08-22 11:00:00
A-0042,C003,光和物流株式会社,田中,FortiSwitch 148F,Fortinet,FS148F-042,8,ネットワーク機器,2028-07-31,2029-01-31,2023-07-05,横浜倉庫 NWラック,2025-03-12 11:00:00,2026-08-22 11:00:00
A-0043,C003,光和物流株式会社,田中,Aruba 3810M,HPE,JL075A-043,6,ネットワーク機器,2026-11-15,2027-05-31,2021-11-09,横浜倉庫 MDF,2025-03-13 11:00:00,2026-08-22 11:00:00
A-0044,C003,光和物流株式会社,田中,ScanSnap iX1400,Ricoh,FIIX1400-044,10,スキャナー,2029-06-30,2029-06-30,2024-06-12,横浜本社 事務センター,2025-03-14 11:00:00,2026-08-22 11:00:00
A-0045,C003,光和物流株式会社,田中,Precision 5570,Dell,PRE5570-045,9,PC,2026-10-01,2027-04-30,2021-10-04,横浜本社 管理部,2025-03-15 11:00:00,2026-08-22 11:00:00
A-0046,C004,青葉銀行,高橋,ThinkPad X13 Gen 2,Lenovo,20WK-046,55,PC,2025-07-31,2026-01-31,2020-07-20,本店 事務部,2025-04-01 09:15:00,2026-08-23 12:10:00
A-0047,C004,青葉銀行,高橋,Latitude 7430,Dell,LAT7430-047,44,PC,2026-02-28,2026-08-31,2021-02-22,本店 営業部,2025-04-02 09:15:00,2026-08-23 12:10:00
A-0048,C004,青葉銀行,高橋,EliteBook 830 G9,HPE,6F6K1PA-048,38,PC,2026-09-10,2027-03-31,2021-09-10,本店 融資部,2025-04-03 09:15:00,2026-08-23 12:10:00
A-0049,C004,青葉銀行,高橋,MacBook Air M2,Apple,MLY33J-049,12,PC,2028-06-30,2028-06-30,2023-06-19,本店 企画部,2025-04-04 09:15:00,2026-08-23 12:10:00
A-0050,C004,青葉銀行,高橋,PowerEdge R750,Dell,PER750-050,5,サーバー,2026-04-15,2026-10-15,2021-04-09,本店DC A列,2025-04-05 09:15:00,2026-08-23 12:10:00
A-0051,C004,青葉銀行,高橋,ProLiant DL325 Gen10 Plus,HPE,P38421-051,4,サーバー,2027-10-31,2028-04-30,2022-10-24,本店DC A列,2025-04-06 09:15:00,2026-08-23 12:10:00
A-0052,C004,青葉銀行,高橋,PRIMERGY RX4770 M6,Fujitsu,RX4770M6-052,2,サーバー,2029-09-30,2030-03-31,2024-09-17,本店DC B列,2025-04-07 09:15:00,2026-08-23 12:10:00
A-0053,C004,青葉銀行,高橋,ETERNUS AF250 S3,Fujitsu,ETAF250-053,2,ストレージ,2026-07-15,2027-01-31,2021-07-15,本店DC B列,2025-04-08 09:15:00,2026-08-23 12:10:00
A-0054,C004,青葉銀行,高橋,PowerMax 2500,Dell,PMAX2500-054,1,ストレージ,2030-06-30,2030-12-31,2025-06-11,本店DC C列,2025-04-09 09:15:00,2026-08-23 12:10:00
A-0055,C004,青葉銀行,高橋,MX-4171,Sharp,MX4171-055,6,プリンター,2025-11-15,2026-05-15,2020-11-13,本店 各階,2025-04-10 09:15:00,2026-08-23 12:10:00
A-0056,C004,青葉銀行,高橋,Apeos C7070,FUJIFILM,APC7070-056,4,プリンター,2027-03-31,2027-09-30,2022-03-16,本店 総務,2025-04-11 09:15:00,2026-08-23 12:10:00
A-0057,C004,青葉銀行,高橋,FortiGate 200F,Fortinet,FG200F-057,3,ネットワーク機器,2028-12-31,2029-06-30,2023-12-04,本店 NWラック,2025-04-12 09:15:00,2026-08-23 12:10:00
A-0058,C004,青葉銀行,高橋,Aruba CX 8325,HPE,JL626A-058,4,ネットワーク機器,2029-04-30,2029-10-31,2024-04-19,本店 MDF,2025-04-13 09:15:00,2026-08-23 12:10:00
A-0059,C004,青葉銀行,高橋,ScanSnap SV600,Ricoh,FISV600-059,18,スキャナー,2027-12-31,2027-12-31,2022-12-06,本店 文書管理室,2025-04-14 09:15:00,2026-08-23 12:10:00
A-0060,C004,青葉銀行,高橋,ThinkCentre M90q Gen 3,Lenovo,11U5-060,60,PC,2026-12-31,2027-06-30,2021-12-20,支店共通,2025-04-15 09:15:00,2026-08-23 12:10:00
A-0061,C005,南海食品株式会社,伊藤,ProBook 430 G8,HPE,2Y2R2PA-061,28,PC,2025-09-30,2026-03-31,2020-09-18,福岡工場 事務棟,2025-05-01 13:20:00,2026-08-24 10:30:00
A-0062,C005,南海食品株式会社,伊藤,ThinkPad E15 Gen 3,Lenovo,20YG-062,36,PC,2026-01-31,2026-07-31,2021-01-27,福岡工場 管理棟,2025-05-02 13:20:00,2026-08-24 10:30:00
A-0063,C005,南海食品株式会社,伊藤,Latitude 5520,Dell,LAT5520-063,32,PC,2026-08-20,2027-02-28,2021-08-20,福岡営業所,2025-05-03 13:20:00,2026-08-24 10:30:00
A-0064,C005,南海食品株式会社,伊藤,Surface Laptop 5,Microsoft,R1S-064,10,PC,2027-01-31,2027-07-31,2022-01-25,福岡本社 企画部,2025-05-04 13:20:00,2026-08-24 10:30:00
A-0065,C005,南海食品株式会社,伊藤,PowerEdge T350,Dell,PET350-065,3,サーバー,2026-06-15,2026-12-31,2021-06-09,福岡工場 サーバー室,2025-05-05 13:20:00,2026-08-24 10:30:00
A-0066,C005,南海食品株式会社,伊藤,ProLiant ML350 Gen10,HPE,P11051-066,3,サーバー,2027-08-31,2028-02-29,2022-08-22,福岡工場 サーバー室,2025-05-06 13:20:00,2026-08-24 10:30:00
A-0067,C005,南海食品株式会社,伊藤,PRIMERGY TX1320 M5,Fujitsu,TX1320M5-067,2,サーバー,2028-11-30,2029-05-31,2023-11-28,福岡本社 サーバー室,2025-05-07 13:20:00,2026-08-24 10:30:00
A-0068,C005,南海食品株式会社,伊藤,PowerVault ME5012,Dell,ME5012-068,1,ストレージ,2027-04-30,2027-10-31,2022-04-05,福岡工場 DC,2025-05-08 13:20:00,2026-08-24 10:30:00
A-0069,C005,南海食品株式会社,伊藤,NetApp FAS2750,NetApp,FAS2750-069,1,ストレージ,2029-08-31,2030-02-28,2024-08-14,福岡工場 DC,2025-05-09 13:20:00,2026-08-24 10:30:00
A-0070,C005,南海食品株式会社,伊藤,ApeosPort C5570,FUJIFILM,APC5570-070,6,プリンター,2026-10-01,2027-04-30,2021-10-04,福岡本社 各階,2025-05-10 13:20:00,2026-08-24 10:30:00
A-0071,C005,南海食品株式会社,伊藤,imageRUNNER ADVANCE DX C478F,Canon,C478F-071,3,プリンター,2028-01-31,2028-07-31,2023-01-17,福岡工場 事務棟,2025-05-11 13:20:00,2026-08-24 10:30:00
A-0072,C005,南海食品株式会社,伊藤,FortiGate 80F,Fortinet,FG80F-072,4,ネットワーク機器,2026-11-30,2027-05-31,2021-11-08,福岡工場 NWラック,2025-05-12 13:20:00,2026-08-24 10:30:00
A-0073,C005,南海食品株式会社,伊藤,Aruba Instant On 1960,HPE,JL806A-073,10,ネットワーク機器,2028-03-31,2028-09-30,2023-03-06,福岡工場 MDF,2025-05-13 13:20:00,2026-08-24 10:30:00
A-0074,C005,南海食品株式会社,伊藤,MX-C357F,Sharp,MXC357F-074,4,プリンター,2025-12-15,2026-06-15,2020-12-10,福岡営業所,2025-05-14 13:20:00,2026-08-24 10:30:00
A-0075,C005,南海食品株式会社,伊藤,ThinkCentre neo 50s,Lenovo,11SX-075,45,PC,2029-01-31,2029-07-31,2024-01-22,福岡工場 事務棟,2025-05-15 13:20:00,2026-08-24 10:30:00
A-0076,C006,白山エネルギー株式会社,山本,ThinkPad P15v Gen 3,Lenovo,21D8-076,18,PC,2026-03-15,2026-09-15,2021-03-09,金沢本社 技術部,2025-06-01 09:45:00,2026-08-25 17:04:00
A-0077,C006,白山エネルギー株式会社,山本,Latitude 5320,Dell,LAT5320-077,26,PC,2026-07-31,2027-01-31,2021-07-26,金沢本社 営業部,2025-06-02 09:45:00,2026-08-25 17:04:00
A-0078,C006,白山エネルギー株式会社,山本,EliteBook 840 G8,HPE,3C7X8PA-078,24,PC,2026-09-30,2027-03-31,2021-09-27,富山支店,2025-06-03 09:45:00,2026-08-25 17:04:00
A-0079,C006,白山エネルギー株式会社,山本,Mac Studio,Apple,MJMV3J-079,5,PC,2028-04-30,2028-04-30,2023-04-18,金沢本社 解析室,2025-06-04 09:45:00,2026-08-25 17:04:00
A-0080,C006,白山エネルギー株式会社,山本,PowerEdge XR11,Dell,PEX11-080,3,サーバー,2027-02-28,2027-08-31,2022-02-22,発電所 エッジラック,2025-06-05 09:45:00,2026-08-25 17:04:00
A-0081,C006,白山エネルギー株式会社,山本,ProLiant DL380 Gen11,HPE,P52561-081,2,サーバー,2030-10-31,2031-04-30,2025-10-13,金沢DC,2025-06-06 09:45:00,2026-08-25 17:04:00
A-0082,C006,白山エネルギー株式会社,山本,PRIMERGY RX2530 M6,Fujitsu,RX2530M6-082,2,サーバー,2028-01-31,2028-07-31,2023-01-12,金沢DC,2025-06-07 09:45:00,2026-08-25 17:04:00
A-0083,C006,白山エネルギー株式会社,山本,NetApp AFF C250,NetApp,AFFC250-083,1,ストレージ,2029-06-30,2029-12-31,2024-06-04,金沢DC,2025-06-08 09:45:00,2026-08-25 17:04:00
A-0084,C006,白山エネルギー株式会社,山本,ETERNUS DX100 S5,Fujitsu,DX100S5-084,1,ストレージ,2026-01-15,2026-07-15,2021-01-06,金沢DC,2025-06-09 09:45:00,2026-08-25 17:04:00
A-0085,C006,白山エネルギー株式会社,山本,MX-C306W,Sharp,MXC306W-085,5,プリンター,2027-11-30,2028-05-31,2022-11-08,金沢本社 総務,2025-06-10 09:45:00,2026-08-25 17:04:00
A-0086,C006,白山エネルギー株式会社,山本,Apeos C3060,FUJIFILM,APC3060-086,3,プリンター,2025-10-15,2026-04-15,2020-10-07,富山支店,2025-06-11 09:45:00,2026-08-25 17:04:00
A-0087,C006,白山エネルギー株式会社,山本,FortiGate 120G,Fortinet,FG120G-087,2,ネットワーク機器,2030-02-28,2030-08-31,2025-02-25,金沢本社 NWラック,2025-06-12 09:45:00,2026-08-25 17:04:00
A-0088,C006,白山エネルギー株式会社,山本,Aruba CX 6200F,HPE,JL724A-088,8,ネットワーク機器,2028-11-30,2029-05-31,2023-11-16,発電所 MDF,2025-06-13 09:45:00,2026-08-25 17:04:00
A-0089,C006,白山エネルギー株式会社,山本,Surface Laptop Studio,Microsoft,A1Y-089,8,PC,2027-07-31,2027-07-31,2022-07-11,金沢本社 技術部,2025-06-14 09:45:00,2026-08-25 17:04:00
A-0090,C006,白山エネルギー株式会社,山本,ScanSnap iX1500,Ricoh,FIIX1500-090,9,スキャナー,2026-12-31,2026-12-31,2021-12-17,金沢本社 文書管理室,2025-06-15 09:45:00,2026-08-25 17:04:00
A-0091,C007,城南メディカル株式会社,中村,Surface Pro 9,Microsoft,QEZ-091,36,PC,2025-11-30,2026-05-31,2020-11-12,品川クリニック,2025-07-01 16:12:00,2026-08-26 14:59:00
A-0092,C007,城南メディカル株式会社,中村,ThinkPad T14s Gen 2,Lenovo,20XF-092,42,PC,2026-06-30,2026-12-31,2021-06-21,品川クリニック,2025-07-02 16:12:00,2026-08-26 14:59:00
A-0093,C007,城南メディカル株式会社,中村,Latitude 7420,Dell,LAT7420-093,30,PC,2026-09-05,2027-03-31,2021-09-06,大井町クリニック,2025-07-03 16:12:00,2026-08-26 14:59:00
A-0094,C007,城南メディカル株式会社,中村,MacBook Air M1,Apple,MGN63J-094,10,PC,2027-01-15,2027-01-15,2022-01-11,品川本部,2025-07-04 16:12:00,2026-08-26 14:59:00
A-0095,C007,城南メディカル株式会社,中村,PowerEdge R640,Dell,PER640-095,3,サーバー,2026-02-15,2026-08-15,2021-02-15,品川DC,2025-07-05 16:12:00,2026-08-26 14:59:00
A-0096,C007,城南メディカル株式会社,中村,ProLiant DL360 Gen10 Plus,HPE,P28948-096,3,サーバー,2028-03-31,2028-09-30,2023-03-07,品川DC,2025-07-06 16:12:00,2026-08-26 14:59:00
A-0097,C007,城南メディカル株式会社,中村,PRIMERGY RX2540 M6,Fujitsu,RX2540M6-097,2,サーバー,2029-12-31,2030-06-30,2024-12-17,品川DC,2025-07-07 16:12:00,2026-08-26 14:59:00
A-0098,C007,城南メディカル株式会社,中村,PowerStore 1200T,Dell,PST1200T-098,1,ストレージ,2030-08-31,2031-02-28,2025-08-06,品川DC,2025-07-08 16:12:00,2026-08-26 14:59:00
A-0099,C007,城南メディカル株式会社,中村,NetApp AFF A150,NetApp,AFFA150-099,1,ストレージ,2027-08-31,2028-02-29,2022-08-29,品川DC,2025-07-09 16:12:00,2026-08-26 14:59:00
A-0100,C007,城南メディカル株式会社,中村,imageRUNNER ADVANCE DX C357F,Canon,C357F-100,8,プリンター,2026-10-31,2027-04-30,2021-10-19,品川クリニック 各階,2025-07-10 16:12:00,2026-08-26 14:59:00
A-0101,C007,城南メディカル株式会社,中村,ApeosPort C2570,FUJIFILM,APC2570-101,5,プリンター,2027-06-30,2027-12-31,2022-06-27,大井町クリニック,2025-07-11 16:12:00,2026-08-26 14:59:00
A-0102,C007,城南メディカル株式会社,中村,FortiGate 100F,Fortinet,FG100F-102,4,ネットワーク機器,2029-01-31,2029-07-31,2024-01-16,品川クリニック NWラック,2025-07-12 16:12:00,2026-08-26 14:59:00
A-0103,C007,城南メディカル株式会社,中村,Aruba CX 6100,HPE,JL675A-103,10,ネットワーク機器,2026-11-30,2027-05-31,2021-11-24,品川クリニック MDF,2025-07-13 16:12:00,2026-08-26 14:59:00
A-0104,C007,城南メディカル株式会社,中村,ScanSnap iX1600,Ricoh,FIIX1600-104,12,スキャナー,2028-01-31,2028-01-31,2023-01-23,品川本部 文書管理室,2025-07-14 16:12:00,2026-08-26 14:59:00
A-0105,C007,城南メディカル株式会社,中村,ThinkCentre M80s Gen 3,Lenovo,11T7-105,50,PC,2028-07-31,2029-01-31,2023-07-25,品川クリニック 受付,2025-07-15 16:12:00,2026-08-26 14:59:00
A-0106,C008,千代田出版株式会社,小林,ThinkPad L13 Gen 3,Lenovo,21B3-106,30,PC,2025-08-31,2026-02-28,2020-08-31,神保町本社 編集部,2025-08-01 12:10:00,2026-08-27 09:14:00
A-0107,C008,千代田出版株式会社,小林,Latitude 5320,Dell,LAT5320-107,26,PC,2026-05-15,2026-11-15,2021-05-10,神保町本社 営業部,2025-08-02 12:10:00,2026-08-27 09:14:00
A-0108,C008,千代田出版株式会社,小林,Mac mini M2 Pro,Apple,MNH73J-108,8,PC,2028-12-31,2028-12-31,2023-12-05,神保町本社 制作室,2025-08-03 12:10:00,2026-08-27 09:14:00
A-0109,C008,千代田出版株式会社,小林,EliteBook 840 G8,HPE,3C7X8PA-109,20,PC,2026-09-25,2027-03-31,2021-09-25,神保町本社 管理部,2025-08-04 12:10:00,2026-08-27 09:14:00
A-0110,C008,千代田出版株式会社,小林,PowerEdge R650,Dell,PER650-110,2,サーバー,2027-11-30,2028-05-31,2022-11-15,神保町DC,2025-08-05 12:10:00,2026-08-27 09:14:00
A-0111,C008,千代田出版株式会社,小林,PRIMERGY RX1330 M5,Fujitsu,RX1330M5-111,2,サーバー,2026-01-31,2026-07-31,2021-01-25,神保町DC,2025-08-06 12:10:00,2026-08-27 09:14:00
A-0112,C008,千代田出版株式会社,小林,ThinkSystem SR650 V2,Lenovo,7Z73-112,2,サーバー,2029-03-31,2029-09-30,2024-03-11,神保町DC,2025-08-07 12:10:00,2026-08-27 09:14:00
A-0113,C008,千代田出版株式会社,小林,PowerVault ME4024,Dell,ME4024-113,1,ストレージ,2026-07-31,2027-01-31,2021-07-19,神保町DC,2025-08-08 12:10:00,2026-08-27 09:14:00
A-0114,C008,千代田出版株式会社,小林,PowerMax 2500,Dell,PMAX2500-114,1,ストレージ,2030-06-30,2030-12-31,2025-06-23,神保町DC,2025-08-09 12:10:00,2026-08-27 09:14:00
A-0115,C008,千代田出版株式会社,小林,DocuCentre-VII C4473,FUJIFILM,DC7C4473-115,6,プリンター,2025-12-31,2026-06-30,2020-12-21,神保町本社 各階,2025-08-10 12:10:00,2026-08-27 09:14:00
A-0116,C008,千代田出版株式会社,小林,MX-B467F,Sharp,MXB467F-116,4,プリンター,2027-02-28,2027-08-31,2022-02-14,神保町本社 総務,2025-08-11 12:10:00,2026-08-27 09:14:00
A-0117,C008,千代田出版株式会社,小林,FortiSwitch 124F,Fortinet,FS124F-117,5,ネットワーク機器,2028-10-31,2029-04-30,2023-10-02,神保町本社 NWラック,2025-08-12 12:10:00,2026-08-27 09:14:00
A-0118,C008,千代田出版株式会社,小林,Aruba 2930F,HPE,JL254A-118,8,ネットワーク機器,2026-10-15,2027-04-15,2021-10-11,神保町本社 MDF,2025-08-13 12:10:00,2026-08-27 09:14:00
A-0119,C008,千代田出版株式会社,小林,ScanSnap SV600,Ricoh,FISV600-119,6,スキャナー,2029-01-31,2029-01-31,2024-01-10,神保町本社 資料室,2025-08-14 12:10:00,2026-08-27 09:14:00
A-0120,C008,千代田出版株式会社,小林,Precision 3460 SFF,Dell,PRE3460-120,7,PC,2026-12-15,2027-06-30,2021-12-13,神保町本社 制作室,2025-08-15 12:10:00,2026-08-27 09:14:00
A-0121,C009,三河精機株式会社,加藤,ThinkPad P1 Gen 4,Lenovo,20Y3-121,20,PC,2025-10-15,2026-04-15,2020-10-12,刈谷工場 設計課,2025-09-01 09:17:00,2026-08-28 09:01:00
A-0122,C009,三河精機株式会社,加藤,Precision 3660 Tower,Dell,PRE3660-122,16,PC,2026-03-31,2026-09-30,2021-03-18,刈谷工場 設計課,2025-09-02 09:17:00,2026-08-28 09:01:00
A-0123,C009,三河精機株式会社,加藤,ThinkPad T14 Gen 3,Lenovo,21AH-123,34,PC,2026-09-30,2027-03-31,2021-09-20,刈谷工場 事務棟,2025-09-03 09:17:00,2026-08-28 09:01:00
A-0124,C009,三河精機株式会社,加藤,Surface Laptop Studio,Microsoft,A1Y-124,6,PC,2027-07-31,2027-07-31,2022-07-26,刈谷工場 開発課,2025-09-04 09:17:00,2026-08-28 09:01:00
A-0125,C009,三河精機株式会社,加藤,PRIMERGY RX2540 M5,Fujitsu,RX2540M5-125,5,サーバー,2026-03-31,2026-09-30,2021-03-24,刈谷工場 サーバー室,2025-09-05 09:17:00,2026-08-28 09:01:00
A-0126,C009,三河精機株式会社,加藤,PowerEdge R760,Dell,PER760-126,3,サーバー,2030-01-31,2030-07-31,2025-01-20,刈谷工場 サーバー室,2025-09-06 09:17:00,2026-08-28 09:01:00
A-0127,C009,三河精機株式会社,加藤,ProLiant DL380 Gen10,HPE,P06420-127,3,サーバー,2027-06-30,2028-01-31,2022-06-15,刈谷工場 DC,2025-09-07 09:17:00,2026-08-28 09:01:00
A-0128,C009,三河精機株式会社,加藤,NetApp AFF A400,NetApp,AFFA400-128,1,ストレージ,2028-12-31,2029-06-30,2023-12-18,刈谷工場 DC,2025-09-08 09:17:00,2026-08-28 09:01:00
